country,year,F_phys,L,R,E,GDP,GDP_per_capita,regulation,export_control,prod_ai
Japon,2020,0.2863,1.8099,1.0000,138.6000,3.8802,31.0412,0.4000,0.0000,0.7152
Japon,2021,0.4009,1.9004,1.0000,145.2000,3.9578,31.6620,0.4000,0.0000,0.9913
Japon,2022,0.5612,1.9955,1.0000,151.8000,4.0369,32.2953,0.4000,0.0000,1.3316
Japon,2023,0.7857,2.0952,1.0000,158.4000,4.1176,32.9412,0.4000,0.0000,1.8000
Japon,2024,1.1000,2.2000,1.0000,165.0000,4.2000,33.6000,0.4000,0.0000,2.4310
Coree,2020,0.2603,1.1518,1.0000,92.4000,1.5705,30.4869,0.4000,0.0000,0.8655
Coree,2021,0.3644,1.2094,1.0000,96.8000,1.6019,31.0966,0.4000,0.0000,1.0844
Coree,2022,0.5102,1.2698,1.0000,101.2000,1.6340,31.7186,0.4000,0.0000,1.4590
Coree,2023,0.7143,1.3333,1.0000,105.6000,1.6667,32.3529,0.4000,0.0000,1.9514
Coree,2024,1.0000,1.4000,1.0000,110.0000,1.7000,33.0000,0.4000,0.0000,2.7499
Inde,2020,0.3118,4.5249,0.8000,73.9200,3.2335,2.3096,0.5000,0.0000,0.5917
Inde,2021,0.4834,4.7511,0.8000,77.4400,3.2981,2.3558,0.5000,0.0000,0.7698
Inde,2022,0.7492,4.9887,0.8000,80.9600,3.3641,2.4029,0.5000,0.0000,1.0165
Inde,2023,1.1613,5.2381,0.8000,84.4800,3.4314,2.4510,0.5000,0.0000,1.3727
Inde,2024,1.8000,5.5000,0.6000,88.0000,3.5000,2.5000,0.5000,0.5000,1.9371
Canada,2020,0.1562,0.5759,1.0000,82.3200,1.9401,49.7029,0.4000,0.0000,0.6466
Canada,2021,0.2187,0.6047,1.0000,86.2400,1.9789,50.6969,0.4000,0.0000,0.8677
Canada,2022,0.3061,0.6349,1.0000,90.1600,2.0185,51.7109,0.4000,0.0000,1.1295
Canada,2023,0.4286,0.6667,1.0000,94.0800,2.0588,52.7451,0.4000,0.0000,1.5666
Canada,2024,0.6000,0.7000,1.0000,98.0000,2.1000,53.8000,0.4000,0.0000,2.1074
Pays-Bas,2020,0.1041,0.4114,1.0000,127.6000,1.0162,57.9251,0.5000,0.0000,0.6063
Pays-Bas,2021,0.1458,0.4319,1.0000,131.9500,1.0366,59.0836,0.5000,0.0000,0.8344
Pays-Bas,2022,0.2041,0.4535,1.0000,203.0000,1.0573,60.2653,0.5000,0.0000,1.1050
Pays-Bas,2023,0.2857,0.4762,1.0000,174.0000,1.0784,61.4706,0.5000,0.0000,1.5118
Pays-Bas,2024,0.4000,0.5000,1.0000,145.0000,1.1000,62.7000,0.5000,0.0000,2.0041
Suede,2020,0.0903,0.2468,1.0000,59.8400,0.5543,53.3059,0.4500,0.0000,0.7899
Suede,2021,0.1219,0.2592,1.0000,61.8800,0.5654,54.3720,0.4500,0.0000,1.0771
Suede,2022,0.1646,0.2721,1.0000,95.2000,0.5767,55.4594,0.4500,0.0000,1.3645
Suede,2023,0.2222,0.2857,1.0000,81.6000,0.5882,56.5686,0.4500,0.0000,1.9077
Suede,2024,0.3000,0.3000,1.0000,68.0000,0.6000,57.7000,0.4500,0.0000,2.5633
Bresil,2020,0.0525,0.4114,0.8000,65.5200,1.9401,8.9613,0.4500,0.0000,0.4136
Bresil,2021,0.0683,0.4319,0.8000,68.6400,1.9789,9.1405,0.4500,0.0000,0.5645
Bresil,2022,0.0888,0.4535,0.8000,71.7600,2.0185,9.3233,0.4500,0.0000,0.8028
Bresil,2023,0.1154,0.4762,0.8000,74.8800,2.0588,9.5098,0.4500,0.0000,1.0102
Bresil,2024,0.1500,0.5000,0.6000,78.0000,2.1000,9.7000,0.4500,0.5000,1.4407
